city,year,month,date,temp_mean,precip_tot,rh_mean,wind_mean,rad_mean,et0_tot
Adiyaman,1990,1,1990-01-01,-1.4943920317376975,0.10994731260561086,1.0280684397727844,0.8330165714103981,-1.150406033502055,-0.4269193834073433
Adiyaman,1990,2,1990-02-01,-1.1741146098139421,0.6439530975738041,1.093905411829819,0.7782088740651038,-0.8924021784109788,-0.3588297027325162
Adiyaman,1990,3,1990-03-01,-0.6001140762246632,-0.22734864105576422,0.06702598339838897,0.7240428964543505,0.12327425389409885,0.3287088515556597
Adiyaman,1990,4,1990-04-01,-0.18564418756601034,-0.18903639012004422,0.3233253309137631,0.18033567168352715,0.2252200137898572,0.7144483640424509
Adiyaman,1990,5,1990-05-01,0.4513810127375108,-0.4070455706996164,-0.46885070100054965,0.04682639656107017,0.8887149709725699,0.32603529241266466
Adiyaman,1990,6,1990-06-01,0.9792118487365304,-0.4629953775253205,-1.056879152958078,1.6708457612420142,1.2488860448596317,-0.3920742114371216
Adiyaman,1990,7,1990-07-01,1.5736723252320077,-0.8665551071368446,-1.3068681908207296,1.2815336307698475,1.228380375364028,-0.43557409243675377
Adiyaman,1990,8,1990-08-01,1.2894120380885485,-0.864520367390064,-1.3885125487954633,1.8418945139501959,0.944914310897711,-0.43595982460761673
Adiyaman,1990,9,1990-09-01,0.8889848285195406,-0.8639724108887314,-1.3660467754773868,0.33679754270700624,0.3877401937969266,-0.43634555677847964
Adiyaman,1990,10,1990-10-01,0.3002963191774182,-0.5428739866687387,-0.71895061595926,-0.1228524183354529,-0.5072247256020133,-0.4367312889493426
Adiyaman,1990,11,1990-11-01,-0.2435579276848221,0.22604355108029162,0.1400663511983068,-1.4335377221668175,-0.9568854832431937,-0.41619397830624394
Adiyaman,1990,12,1990-12-01,-0.8872228050015168,-0.1343994644132309,0.7141633058916164,-0.980873453436036,-1.228856915812973,-0.4241880896821838
Adiyaman,1991,1,1991-01-01,-1.2482013060200312,0.3701680122950861,0.7873473208441863,-0.4480263038741907,-1.1735531890245317,-0.43281623265854674
Adiyaman,1991,2,1991-02-01,-1.3562441432414294,0.33027546452022394,1.0071090640011406,-0.14655922609826466,-1.0046102471263763,-0.4141810168167173
Adiyaman,1991,3,1991-03-01,-0.6180374282783411,0.7266051209599023,0.7214111456990143,-0.025254963795097708,-0.447455944320548,0.2796978534756892
